animal_number;responder;location;visit_time;duration;weight (g);feed_intake;;;
113801;984000010113801;1;26/03/2026 07.11;822;46000;156;;;
113801;984000010113801;1;26/03/2026 09.33;736;46000;219;;;
113801;984000010113801;1;26/03/2026 10.56;181;46000;2;;;
113801;984000010113801;1;26/03/2026 12.44;235;46000;91;;;
113801;984000010113801;1;26/03/2026 12.57;191;45500;11;;;
113801;984000010113801;1;26/03/2026 14.10;1362;45500;429;;;
113801;984000010113801;1;26/03/2026 17.23;809;47000;243;;;
113801;984000010113801;1;26/03/2026 20.43;675;46500;200;;;
113801;984000010113801;1;27/03/2026 00.05;958;47000;322;;;
113801;984000010113801;1;27/03/2026 00.23;456;47500;171;;;
113801;984000010113801;1;27/03/2026 05.13;264;48000;94;;;
113801;984000010113801;1;27/03/2026 07.28;25;;1;;;
113801;984000010113801;1;27/03/2026 09.03;111;47000;56;;;
113801;984000010113801;1;27/03/2026 13.55;669;47000;269;;;
113801;984000010113801;1;27/03/2026 18.10;1469;46500;351;;;
113801;984000010113801;1;27/03/2026 21.20;751;46500;202;;;
113801;984000010113801;1;28/03/2026 01.13;689;46500;173;;;
113801;984000010113801;1;28/03/2026 03.21;498;47000;198;;;
113801;984000010113801;1;28/03/2026 05.19;300;47500;106;;;
113801;984000010113801;1;28/03/2026 06.34;276;47500;52;;;
113801;984000010113801;1;28/03/2026 09.15;626;48000;249;;;
113801;984000010113801;1;28/03/2026 15.15;1366;55500;330;;;
113801;984000010113801;1;28/03/2026 18.29;377;47500;145;;;
113801;984000010113801;1;28/03/2026 18.37;307;47500;88;;;
113801;984000010113801;1;28/03/2026 20.02;60;;3;;;
113801;984000010113801;1;28/03/2026 23.47;761;48500;256;;;
113801;984000010113801;1;29/03/2026 04.24;448;49500;162;;;
113801;984000010113801;1;29/03/2026 07.55;606;48500;154;;;
113801;984000010113801;1;29/03/2026 09.17;214;49500;80;;;
113801;984000010113801;1;29/03/2026 11.13;228;49000;77;;;
113801;984000010113801;1;29/03/2026 15.06;570;48500;61;;;
113801;984000010113801;1;29/03/2026 16.35;968;48500;302;;;
113801;984000010113801;1;29/03/2026 19.36;601;49500;152;;;
113801;984000010113801;1;29/03/2026 22.24;831;49500;274;;;
113801;984000010113801;1;29/03/2026 22.42;539;49000;172;;;
113801;984000010113801;1;30/03/2026 01.19;83;50500;28;;;
113801;984000010113801;1;30/03/2026 05.48;433;49500;156;;;
113801;984000010113801;1;30/03/2026 06.23;73;50000;17;;;
113801;984000010113801;1;30/03/2026 12.08;1146;49000;332;;;
113801;984000010113801;1;30/03/2026 17.29;1361;49000;418;;;
113801;984000010113801;1;30/03/2026 22.35;775;49500;149;;;
113801;984000010113801;1;30/03/2026 22.50;850;50000;302;;;
113801;984000010113801;1;31/03/2026 01.07;131;50500;39;;;
113801;984000010113801;1;31/03/2026 05.06;787;50500;254;;;
113801;984000010113801;1;31/03/2026 05.23;51;;3;;;
113801;984000010113801;1;31/03/2026 07.21;194;50000;66;;;
113801;984000010113801;1;31/03/2026 14.52;1238;50000;387;;;
113801;984000010113801;1;31/03/2026 19.37;1533;49500;582;;;
113801;984000010113801;1;31/03/2026 23.28;144;50500;49;;;
113801;984000010113801;1;01/04/2026 02.24;129;51000;37;;;
113801;984000010113801;1;01/04/2026 02.28;280;51000;106;;;
113801;984000010113801;1;01/04/2026 05.28;371;51000;139;;;
113801;984000010113801;1;01/04/2026 07.23;442;50000;123;;;
113801;984000010113801;1;01/04/2026 11.43;504;50000;182;;;
113801;984000010113801;1;01/04/2026 16.34;1532;50500;470;;;
113801;984000010113801;1;01/04/2026 19.24;130;51500;39;;;
113801;984000010113801;1;01/04/2026 21.04;267;51500;101;;;
113801;984000010113801;1;01/04/2026 21.55;281;51500;54;;;
113801;984000010113801;1;01/04/2026 23.50;376;51500;88;;;
113801;984000010113801;1;02/04/2026 02.46;492;51500;161;;;
113801;984000010113801;1;02/04/2026 07.28;1352;51000;445;;;
113801;984000010113801;1;02/04/2026 16.58;928;51000;294;;;
113801;984000010113801;1;02/04/2026 17.16;144;51500;21;;;
113801;984000010113801;1;02/04/2026 20.41;433;52000;78;;;
113801;984000010113801;1;02/04/2026 20.51;392;52000;134;;;
113801;984000010113801;1;02/04/2026 21.11;323;52500;90;;;
113801;984000010113801;1;03/04/2026 01.52;473;52500;135;;;
113801;984000010113801;1;03/04/2026 02.21;323;52500;109;;;
113801;984000010113801;1;03/04/2026 07.52;749;52000;239;;;
113801;984000010113801;1;03/04/2026 08.07;38;;2;;;
113801;984000010113801;1;03/04/2026 10.59;629;52000;237;;;
113801;984000010113801;1;03/04/2026 16.45;559;52000;159;;;
113801;984000010113801;1;03/04/2026 17.30;34;;3;;;
113801;984000010113801;1;03/04/2026 20.17;814;52000;282;;;
113801;984000010113801;1;03/04/2026 22.23;101;53000;41;;;
113801;984000010113801;1;03/04/2026 23.52;196;52000;43;;;
113801;984000010113801;1;04/04/2026 01.30;209;52500;61;;;
113801;984000010113801;1;04/04/2026 05.26;503;52500;180;;;
113801;984000010113801;1;04/04/2026 10.01;717;51500;165;;;
113801;984000010113801;1;04/04/2026 10.15;364;52500;150;;;
113801;984000010113801;1;04/04/2026 10.52;640;52500;4;;;
113801;984000010113801;1;04/04/2026 16.37;910;52500;207;;;
113801;984000010113801;1;04/04/2026 16.54;501;52000;202;;;
113801;984000010113801;1;04/04/2026 22.00;706;52000;73;;;
113801;984000010113801;1;05/04/2026 00.33;499;51500;81;;;
113801;984000010113801;1;05/04/2026 00.43;902;52000;329;;;
113801;984000010113801;1;05/04/2026 03.47;138;53500;47;;;
113801;984000010113801;1;05/04/2026 06.07;135;53000;33;;;
113801;984000010113801;1;05/04/2026 10.38;793;52000;206;;;
113801;984000010113801;1;05/04/2026 15.19;1237;53000;273;;;
113801;984000010113801;1;05/04/2026 19.37;1606;52500;683;;;
113801;984000010113801;1;06/04/2026 03.46;386;53000;146;;;
113801;984000010113801;1;06/04/2026 06.54;341;52500;138;;;
113801;984000010113801;1;06/04/2026 10.30;191;52500;42;;;
113801;984000010113801;1;06/04/2026 10.50;724;52500;104;;;
113801;984000010113801;1;06/04/2026 14.30;523;53000;130;;;
113801;984000010113801;1;06/04/2026 14.40;71;53000;6;;;
113801;984000010113801;1;06/04/2026 17.00;547;53500;42;;;
113801;984000010113801;1;06/04/2026 17.36;1104;53500;73;;;
113801;984000010113801;1;06/04/2026 20.01;1076;53000;247;;;
113801;984000010113801;1;06/04/2026 20.21;841;53000;317;;;
113801;984000010113801;1;07/04/2026 03.46;974;54000;355;;;
113801;984000010113801;1;07/04/2026 06.40;1123;55000;383;;;
113801;984000010113801;1;07/04/2026 09.32;172;54500;21;;;
113801;984000010113801;1;07/04/2026 15.05;339;55000;60;;;
113801;984000010113801;1;07/04/2026 15.13;691;55500;265;;;
113801;984000010113801;1;07/04/2026 18.35;535;55500;159;;;
113801;984000010113801;1;07/04/2026 20.26;475;55500;70;;;
113801;984000010113801;1;07/04/2026 22.51;1398;55500;437;;;
113801;984000010113801;1;08/04/2026 02.51;658;56000;224;;;
113801;984000010113801;1;08/04/2026 05.42;283;56000;91;;;
113801;984000010113801;1;08/04/2026 09.36;607;57000;203;;;
113801;984000010113801;1;08/04/2026 13.53;994;57000;339;;;
113801;984000010113801;1;08/04/2026 18.39;783;57000;130;;;
113801;984000010113801;1;08/04/2026 22.34;1460;56000;477;;;
113801;984000010113801;1;09/04/2026 05.07;473;56500;127;;;
113801;984000010113801;1;09/04/2026 05.17;751;57000;293;;;
113801;984000010113801;1;09/04/2026 09.25;529;56500;142;;;
113801;984000010113801;1;09/04/2026 09.36;794;57000;317;;;
113801;984000010113801;1;09/04/2026 14.10;1200;58000;364;;;
113801;984000010113801;1;09/04/2026 18.39;1069;58500;340;;;
113801;984000010113801;1;09/04/2026 20.49;631;58500;252;;;
113801;984000010113801;1;10/04/2026 00.27;691;59500;218;;;
113801;984000010113801;1;10/04/2026 01.42;71;59500;9;;;
113801;984000010113801;1;10/04/2026 05.41;791;59000;290;;;
113801;984000010113801;1;10/04/2026 08.39;273;59000;74;;;
113801;984000010113801;1;10/04/2026 09.15;340;59000;130;;;
113801;984000010113801;1;10/04/2026 10.01;359;59500;171;;;
113801;984000010113801;1;10/04/2026 10.34;318;59500;111;;;
113801;984000010113801;1;10/04/2026 13.58;534;60500;178;;;
113801;984000010113801;1;10/04/2026 14.51;639;60500;253;;;
113801;984000010113801;1;10/04/2026 16.20;355;61000;110;;;
113801;984000010113801;1;10/04/2026 17.10;670;61500;267;;;
113801;984000010113801;1;10/04/2026 22.06;388;61000;46;;;
113801;984000010113801;1;10/04/2026 22.16;81;61000;3;;;
113801;984000010113801;1;11/04/2026 00.20;1077;61000;350;;;
113801;984000010113801;1;11/04/2026 01.34;60;;9;;;
113801;984000010113801;1;11/04/2026 01.37;665;61500;263;;;
113801;984000010113801;1;11/04/2026 07.22;650;62500;268;;;
113801;984000010113801;1;11/04/2026 07.35;485;62000;196;;;
113801;984000010113801;1;11/04/2026 12.22;243;62500;77;;;
113801;984000010113801;1;11/04/2026 12.28;243;62000;78;;;
113801;984000010113801;1;11/04/2026 14.50;449;62500;157;;;
113801;984000010113801;1;11/04/2026 16.15;917;62500;275;;;
113801;984000010113801;1;11/04/2026 19.56;1178;62500;446;;;
113801;984000010113801;1;11/04/2026 20.18;623;63500;295;;;
113801;984000010113801;1;11/04/2026 23.37;498;64000;245;;;
113801;984000010113801;1;12/04/2026 04.36;215;63000;70;;;
113801;984000010113801;1;12/04/2026 06.51;252;63000;75;;;
113801;984000010113801;1;12/04/2026 07.16;333;63000;124;;;
113801;984000010113801;1;12/04/2026 09.45;596;63500;222;;;
113801;984000010113801;1;12/04/2026 09.57;534;63500;237;;;
113801;984000010113801;1;12/04/2026 10.51;347;64000;139;;;
113801;984000010113801;1;12/04/2026 16.34;651;63000;216;;;
113801;984000010113801;1;12/04/2026 17.01;650;64000;171;;;
113801;984000010113801;1;12/04/2026 19.06;542;64000;125;;;
113801;984000010113801;1;12/04/2026 19.17;624;64500;294;;;
113801;984000010113801;1;13/04/2026 01.18;952;64000;359;;;
113801;984000010113801;1;13/04/2026 05.25;211;64500;68;;;
113801;984000010113801;1;13/04/2026 05.33;39;;1;;;
113801;984000010113801;1;13/04/2026 07.29;387;63000;37;;;
113801;984000010113801;1;13/04/2026 08.37;218;62500;14;;;
113801;984000010113801;1;13/04/2026 09.31;716;63000;198;;;
113801;984000010113801;1;13/04/2026 10.44;337;62000;65;;;
113801;984000010113801;1;13/04/2026 11.19;499;62000;158;;;
113801;984000010113801;1;13/04/2026 11.29;724;63000;348;;;
113801;984000010113801;1;13/04/2026 12.42;454;63500;261;;;
113801;984000010113801;1;13/04/2026 17.39;329;63500;65;;;
113801;984000010113801;1;13/04/2026 18.45;527;64000;128;;;
113801;984000010113801;1;13/04/2026 18.56;547;64000;293;;;
113801;984000010113801;1;14/04/2026 01.41;962;65500;457;;;
113801;984000010113801;1;14/04/2026 01.59;361;65500;175;;;
113801;984000010113801;1;14/04/2026 05.52;30;;2;;;
113801;984000010113801;1;14/04/2026 08.52;222;65000;85;;;
113801;984000010113801;1;14/04/2026 08.57;610;64500;287;;;
113801;984000010113801;1;14/04/2026 10.01;59;;9;;;
113801;984000010113801;1;14/04/2026 11.53;146;64500;99;;;
113801;984000010113801;1;14/04/2026 11.56;146;65000;60;;;
113801;984000010113801;1;14/04/2026 12.41;445;66000;183;;;
113801;984000010113801;1;14/04/2026 13.23;200;66500;77;;;
113801;984000010113801;1;14/04/2026 13.47;140;65500;5;;;
113801;984000010113801;1;14/04/2026 17.28;450;65000;48;;;
113801;984000010113801;1;14/04/2026 17.57;797;65000;172;;;
113801;984000010113801;1;14/04/2026 19.21;912;66000;401;;;
113801;984000010113801;1;14/04/2026 19.38;460;65500;222;;;
113801;984000010113801;1;15/04/2026 01.48;578;67000;269;;;
113801;984000010113801;1;15/04/2026 04.20;278;66500;136;;;
113801;984000010113801;1;15/04/2026 05.38;573;66000;236;;;
113801;984000010113801;1;15/04/2026 09.17;447;66500;182;;;
113801;984000010113801;1;15/04/2026 09.27;12;;1;;;
113801;984000010113801;1;15/04/2026 09.29;679;67000;331;;;
113801;984000010113801;1;15/04/2026 10.14;12;;6;;;
113801;984000010113801;1;15/04/2026 13.09;50;;2;;;
113801;984000010113801;1;15/04/2026 13.50;273;67500;66;;;
113801;984000010113801;1;15/04/2026 14.13;372;67500;197;;;
113801;984000010113801;1;15/04/2026 14.56;63;66500;20;;;
113801;984000010113801;1;15/04/2026 14.59;490;68000;277;;;
113801;984000010113801;1;15/04/2026 17.22;624;68500;340;;;
113801;984000010113801;1;15/04/2026 21.21;383;68500;195;;;
113801;984000010113801;1;15/04/2026 23.53;658;69000;300;;;
113801;984000010113801;1;16/04/2026 04.04;36;;13;;;
113801;984000010113801;1;16/04/2026 06.17;554;68500;260;;;
113801;984000010113801;1;16/04/2026 06.28;520;68500;244;;;
113801;984000010113801;1;16/04/2026 11.44;37;;1;;;
113801;984000010113801;1;16/04/2026 11.54;517;68500;253;;;
113801;984000010113801;1;16/04/2026 14.55;1267;69000;356;;;
113801;984000010113801;1;16/04/2026 17.11;333;69500;49;;;
113801;984000010113801;1;16/04/2026 18.12;340;69000;74;;;
113801;984000010113801;1;16/04/2026 19.59;1336;68500;573;;;
113801;984000010113801;1;16/04/2026 20.23;642;69500;347;;;
113801;984000010113801;1;17/04/2026 04.22;707;70000;291;;;
113801;984000010113801;1;17/04/2026 06.42;450;70500;227;;;
113801;984000010113801;1;17/04/2026 08.11;376;70000;173;;;
113801;984000010113801;1;17/04/2026 10.03;50;;3;;;
110825;984000010110825;1;16/03/2026 14.51;435;37250;130;;;
110825;984000010110825;1;16/03/2026 15.09;488;38500;113;;;
110825;984000010110825;1;16/03/2026 16.28;30;;5;;;
110825;984000010110825;1;16/03/2026 17.34;1648;36000;308;;;
110825;984000010110825;1;16/03/2026 19.14;311;36500;120;;;
110825;984000010110825;1;16/03/2026 21.27;729;36500;240;;;
110825;984000010110825;1;17/03/2026 08.26;851;35500;191;;;
110825;984000010110825;1;17/03/2026 11.44;306;36000;90;;;
110825;984000010110825;1;17/03/2026 13.40;1371;35500;327;;;
110825;984000010110825;1;17/03/2026 15.59;986;36500;209;;;
110825;984000010110825;1;18/03/2026 05.12;1336;35000;404;;;
110825;984000010110825;1;18/03/2026 08.51;1188;36000;333;;;
110825;984000010110825;1;18/03/2026 11.30;325;36000;111;;;
110825;984000010110825;1;19/03/2026 03.48;1955;35000;489;;;
110825;984000010110825;1;19/03/2026 07.30;177;36000;51;;;
110825;984000010110825;1;19/03/2026 07.59;973;36500;217;;;
110825;984000010110825;1;19/03/2026 10.02;363;36500;141;;;
110825;984000010110825;1;19/03/2026 10.10;138;36500;40;;;
110825;984000010110825;1;19/03/2026 14.00;1681;37000;481;;;
110825;984000010110825;1;19/03/2026 14.55;282;37500;47;;;
110825;984000010110825;1;20/03/2026 02.35;1299;36500;291;;;
110825;984000010110825;1;20/03/2026 07.46;607;37500;196;;;
110825;984000010110825;1;20/03/2026 08.03;534;37500;129;;;
110825;984000010110825;1;20/03/2026 11.37;737;37500;188;;;
110825;984000010110825;1;20/03/2026 13.37;705;38000;200;;;
110825;984000010110825;1;20/03/2026 19.59;730;37000;261;;;
110825;984000010110825;1;20/03/2026 20.54;503;67500;138;;;
110825;984000010110825;1;21/03/2026 00.29;144;37500;50;;;
110825;984000010110825;1;21/03/2026 04.52;200;37500;53;;;
110825;984000010110825;1;21/03/2026 06.54;566;37500;167;;;
110825;984000010110825;1;21/03/2026 12.54;1416;37500;370;;;
110825;984000010110825;1;21/03/2026 14.39;553;38500;139;;;
110825;984000010110825;1;22/03/2026 01.35;880;37500;280;;;
110825;984000010110825;1;22/03/2026 07.50;257;38000;75;;;
110825;984000010110825;1;22/03/2026 09.29;423;38000;108;;;
110825;984000010110825;1;22/03/2026 13.22;1195;38500;356;;;
110825;984000010110825;1;22/03/2026 19.53;1325;38500;457;;;
110825;984000010110825;1;23/03/2026 00.11;211;39500;61;;;
110825;984000010110825;1;23/03/2026 01.19;510;39500;141;;;
110825;984000010110825;1;23/03/2026 07.32;821;39000;189;;;
110825;984000010110825;1;23/03/2026 11.33;1034;39000;312;;;
110825;984000010110825;1;23/03/2026 12.51;196;40000;62;;;
110825;984000010110825;1;23/03/2026 15.12;1182;40000;392;;;
110825;984000010110825;1;23/03/2026 20.34;451;57000;120;;;
110825;984000010110825;1;24/03/2026 01.23;1307;40500;364;;;
110825;984000010110825;1;24/03/2026 07.41;452;40500;155;;;
110825;984000010110825;1;24/03/2026 12.43;1479;41000;454;;;
110825;984000010110825;1;24/03/2026 18.45;857;41500;312;;;
110825;984000010110825;1;24/03/2026 20.40;668;42000;237;;;
110825;984000010110825;1;25/03/2026 05.05;848;42500;294;;;
110825;984000010110825;1;25/03/2026 10.06;877;42000;287;;;
110825;984000010110825;1;25/03/2026 14.21;656;42500;197;;;
110825;984000010110825;1;25/03/2026 15.09;630;42500;173;;;
110825;984000010110825;1;25/03/2026 20.11;991;42500;310;;;
110825;984000010110825;1;26/03/2026 04.24;1158;43000;353;;;
110825;984000010110825;1;26/03/2026 10.42;832;44000;273;;;
110825;984000010110825;1;26/03/2026 15.48;1802;43000;554;;;
110825;984000010110825;1;26/03/2026 19.24;649;44000;193;;;
110825;984000010110825;1;26/03/2026 23.48;1001;44500;287;;;
110825;984000010110825;1;27/03/2026 04.32;707;44500;197;;;
110825;984000010110825;1;27/03/2026 11.05;822;44500;230;;;
110825;984000010110825;1;27/03/2026 18.36;1853;44000;649;;;
110825;984000010110825;1;27/03/2026 21.52;521;44500;172;;;
110825;984000010110825;1;28/03/2026 04.01;1117;45000;400;;;
110825;984000010110825;1;28/03/2026 11.29;1334;46000;419;;;
110825;984000010110825;1;28/03/2026 12.35;97;46000;6;;;
110825;984000010110825;1;28/03/2026 16.36;497;46000;190;;;
110825;984000010110825;1;28/03/2026 19.47;884;46000;222;;;
110825;984000010110825;1;29/03/2026 00.00;637;47000;167;;;
110825;984000010110825;1;29/03/2026 05.01;788;47500;237;;;
110825;984000010110825;1;29/03/2026 08.52;595;46500;192;;;
110825;984000010110825;1;29/03/2026 11.09;139;48000;43;;;
110825;984000010110825;1;29/03/2026 16.55;1936;47000;687;;;
110825;984000010110825;1;29/03/2026 22.02;615;47500;200;;;
110825;984000010110825;1;30/03/2026 00.41;170;48000;55;;;
110825;984000010110825;1;30/03/2026 04.56;1197;48000;373;;;
110825;984000010110825;1;30/03/2026 10.37;642;48500;222;;;
110825;984000010110825;1;30/03/2026 13.52;608;48500;225;;;
110825;984000010110825;1;30/03/2026 19.20;1478;48000;577;;;
110825;984000010110825;1;31/03/2026 00.34;502;49500;156;;;
110825;984000010110825;1;31/03/2026 04.14;504;50000;140;;;
110825;984000010110825;1;31/03/2026 07.26;691;49500;272;;;
110825;984000010110825;1;31/03/2026 09.01;363;49500;131;;;
110825;984000010110825;1;31/03/2026 11.49;343;50000;116;;;
110825;984000010110825;1;31/03/2026 13.47;1202;50000;310;;;
110825;984000010110825;1;31/03/2026 16.32;604;50000;226;;;
110825;984000010110825;1;31/03/2026 23.42;1120;48000;496;;;
110825;984000010110825;1;01/04/2026 04.26;104;50000;25;;;
110825;984000010110825;1;01/04/2026 10.51;1486;49000;558;;;
110825;984000010110825;1;01/04/2026 14.25;247;50500;83;;;
110825;984000010110825;1;01/04/2026 14.44;269;50500;75;;;
110825;984000010110825;1;01/04/2026 15.19;89;50500;29;;;
110825;984000010110825;1;01/04/2026 22.37;1457;49500;709;;;
110825;984000010110825;1;02/04/2026 07.19;495;51000;210;;;
110825;984000010110825;1;02/04/2026 08.04;522;50500;214;;;
110825;984000010110825;1;02/04/2026 12.28;1134;51500;456;;;
110825;984000010110825;1;02/04/2026 14.08;545;52500;214;;;
110825;984000010110825;1;02/04/2026 19.12;734;53000;284;;;
110825;984000010110825;1;02/04/2026 22.12;556;53000;244;;;
110825;984000010110825;1;03/04/2026 01.42;568;53500;258;;;
110825;984000010110825;1;03/04/2026 05.06;249;53500;103;;;
110825;984000010110825;1;03/04/2026 09.59;387;53000;122;;;
110825;984000010110825;1;03/04/2026 13.20;749;53000;367;;;
110825;984000010110825;1;03/04/2026 14.02;159;53500;34;;;
110825;984000010110825;1;03/04/2026 17.30;809;54000;347;;;
110825;984000010110825;1;03/04/2026 22.44;761;54000;344;;;
110825;984000010110825;1;04/04/2026 01.21;513;54500;216;;;
110825;984000010110825;1;04/04/2026 05.07;884;54000;395;;;
110825;984000010110825;1;04/04/2026 07.02;462;54500;196;;;
110825;984000010110825;1;04/04/2026 13.09;1085;54000;500;;;
110825;984000010110825;1;04/04/2026 16.02;558;55000;263;;;
110825;984000010110825;1;04/04/2026 19.29;423;55500;191;;;
110825;984000010110825;1;04/04/2026 21.51;554;55000;212;;;
110825;984000010110825;1;05/04/2026 04.48;1149;55500;512;;;
110825;984000010110825;1;05/04/2026 13.22;1556;56000;695;;;
110825;984000010110825;1;05/04/2026 20.42;1232;56000;568;;;
110825;984000010110825;1;06/04/2026 05.26;1038;55500;462;;;
110825;984000010110825;1;07/04/2026 04.02;1861;53000;778;;;
110825;984000010110825;1;07/04/2026 11.38;1927;55000;845;;;
110825;984000010110825;1;07/04/2026 23.54;1704;55500;808;;;
110825;984000010110825;1;08/04/2026 07.45;1287;56000;554;;;
110825;984000010110825;1;08/04/2026 12.21;776;56500;346;;;
110825;984000010110825;1;08/04/2026 15.10;682;58000;297;;;
110825;984000010110825;1;08/04/2026 16.48;305;58500;92;;;
110825;984000010110825;1;09/04/2026 01.06;1003;58000;421;;;
110825;984000010110825;1;09/04/2026 07.47;1506;57500;633;;;
110825;984000010110825;1;09/04/2026 08.56;114;58500;25;;;
110825;984000010110825;1;09/04/2026 12.43;531;58500;187;;;
110825;984000010110825;1;09/04/2026 15.52;1154;59000;477;;;
110825;984000010110825;1;09/04/2026 20.35;694;59500;314;;;
110825;984000010110825;1;10/04/2026 05.18;944;60000;399;;;
110825;984000010110825;1;10/04/2026 10.07;1084;60500;490;;;
110825;984000010110825;1;10/04/2026 11.13;570;61000;204;;;
110825;984000010110825;1;10/04/2026 12.53;625;61500;295;;;
110825;984000010110825;1;10/04/2026 19.41;785;62000;387;;;
110825;984000010110825;1;10/04/2026 22.34;782;61000;202;;;
110825;984000010110825;1;11/04/2026 04.56;1214;60000;490;;;
110825;984000010110825;1;11/04/2026 08.40;606;61500;267;;;
110825;984000010110825;1;11/04/2026 12.32;804;62500;322;;;
110825;984000010110825;1;11/04/2026 14.58;1119;63000;497;;;
110825;984000010110825;1;11/04/2026 22.42;1053;63500;505;;;
110825;984000010110825;1;12/04/2026 07.58;1136;63000;516;;;
110825;984000010110825;1;12/04/2026 08.55;18;;6;;;
110825;984000010110825;1;12/04/2026 13.30;1709;64500;842;;;
110825;984000010110825;1;12/04/2026 21.59;1353;65000;722;;;
110825;984000010110825;1;13/04/2026 06.17;581;64000;168;;;
110825;984000010110825;1;13/04/2026 09.51;1159;64000;280;;;
110825;984000010110825;1;13/04/2026 12.27;777;64000;305;;;
110825;984000010110825;1;13/04/2026 14.32;910;65000;417;;;
110825;984000010110825;1;13/04/2026 20.16;523;64500;176;;;
110825;984000010110825;1;13/04/2026 22.07;563;65000;302;;;
110825;984000010110825;1;14/04/2026 02.58;626;65000;289;;;
110825;984000010110825;1;14/04/2026 08.04;826;64500;396;;;
110825;984000010110825;1;14/04/2026 11.12;646;65500;331;;;
